,Date,Low,High,Close,Open
5459,2021-07-14,88.94,91.395,89.05,90.76
5458,2021-07-13,89.8299,91.41,90.26,90.48
5457,2021-07-12,89.65,91.9,90.81,91.22
5456,2021-07-09,88.53,91.26,90.9,90.04
5455,2021-07-08,87.45,90.3399,89.74,87.86
5454,2021-07-07,90.31,95.44,90.54,95.02
5453,2021-07-06,93.32,95.41,94.47,94.875
5452,2021-07-02,92.205,95.27,94.7,93.28
5451,2021-07-01,91.7,94.175,93.31,94.04
5450,2021-06-30,90.6,94.335,93.93,90.82
5449,2021-06-29,86.66,90.3,89.52,87.41
5448,2021-06-28,86.15,88.0,87.08,86.38
5447,2021-06-25,85.1,86.36,85.62,86.34
5446,2021-06-24,84.365,87.1399,86.1,84.39
5445,2021-06-23,83.1603,84.485,83.82,83.83
5444,2021-06-22,82.48,84.04,83.58,82.9
5443,2021-06-21,82.21,84.19,82.59,83.49
5442,2021-06-18,83.48,85.77,84.65,84.28
5441,2021-06-17,80.57,85.37,84.56,80.77
5440,2021-06-16,78.96,81.45,80.11,80.75
5439,2021-06-15,80.225,81.68,80.47,81.59
5438,2021-06-14,80.2,81.55,81.55,81.51
5437,2021-06-11,80.7,82.33,81.31,81.61
5436,2021-06-10,79.7,81.71,81.56,80.02
5435,2021-06-09,79.8,81.677,79.96,81.09
5434,2021-06-08,80.45,82.645,80.89,81.87
5433,2021-06-07,80.38,81.68,81.35,81.4
5432,2021-06-04,80.81,82.19,81.58,80.92
5431,2021-06-03,80.26,81.89,80.28,81.13
5430,2021-06-02,80.66,82.6,81.97,81.0
5429,2021-06-01,80.66,82.91,80.81,81.01
5428,2021-05-28,78.66,81.09,80.08,78.66
5427,2021-05-27,77.47,78.43,78.42,78.11
5426,2021-05-26,77.59,78.59,78.34,77.83
5425,2021-05-25,76.8365,78.77,77.86,77.33
5424,2021-05-24,76.8,78.01,77.44,77.26
5423,2021-05-21,77.04,78.81,77.17,78.55
5422,2021-05-20,76.25,78.27,78.06,76.81
5421,2021-05-19,72.76,76.97,76.23,73.16
5420,2021-05-18,74.24,75.7699,74.44,74.74
5419,2021-05-17,73.41,75.52,74.65,74.215
5418,2021-05-14,72.72,75.0274,74.59,74.02
5417,2021-05-13,72.5,75.7,73.09,75.21
5416,2021-05-12,74.16,76.13,74.64,75.09
5415,2021-05-11,72.75,76.93,76.83,73.57
5414,2021-05-10,75.92,78.3,75.99,78.2
5413,2021-05-07,78.22,79.5718,78.81,78.75
5412,2021-05-06,76.47,78.0599,77.89,77.63
5411,2021-05-05,77.36,79.3,77.83,79.05
5410,2021-05-04,77.04,78.67,78.61,77.95
5409,2021-05-03,78.46,82.0,78.55,81.97
5408,2021-04-30,81.415,84.1,81.62,82.97
5407,2021-04-29,82.63,85.27,83.91,84.7
5406,2021-04-28,83.92,89.2,84.02,88.85
5405,2021-04-27,85.13,87.15,85.21,85.67
5404,2021-04-26,82.7,85.9,85.41,83.35
5403,2021-04-23,79.96,83.3,82.76,80.21
5402,2021-04-22,78.59,81.79,79.06,81.61
5401,2021-04-21,78.86,81.66,81.61,78.99
5400,2021-04-20,78.51,81.11,79.27,80.82
5399,2021-04-19,80.39,83.18,81.11,82.13
5398,2021-04-16,81.53,83.59,82.15,83.3
5397,2021-04-15,79.97,83.95,83.01,80.32
5396,2021-04-14,77.935,80.13,78.55,79.88
5395,2021-04-13,78.98,80.72,80.19,79.67
5394,2021-04-12,78.03,82.18,78.58,82.055
5393,2021-04-09,82.16,83.59,82.76,82.8
5392,2021-04-08,82.435,83.79,83.35,83.32
5391,2021-04-07,80.35,83.1,82.2,81.32
5390,2021-04-06,80.88,82.455,81.44,81.21
5389,2021-04-05,80.39,81.9,81.43,81.74
5388,2021-04-01,79.48,81.31,81.09,80.155
5387,2021-03-31,76.52,79.13,78.5,76.57
5386,2021-03-30,74.85,76.56,76.0,76.47
5385,2021-03-29,76.26,78.02,77.14,77.03
5384,2021-03-26,75.03,77.4995,77.41,76.62
5383,2021-03-25,74.96,76.95,76.22,75.85
5382,2021-03-24,76.4,78.8,76.48,77.55
5381,2021-03-23,77.95,80.34,78.38,80.13
5380,2021-03-22,79.22,81.265,80.3,79.99
5379,2021-03-19,77.59,79.34,79.06,78.49
5378,2021-03-18,78.01,81.62,78.12,81.055
5377,2021-03-17,80.411,83.25,82.63,81.75
5376,2021-03-16,82.255,84.75,82.75,83.66
5375,2021-03-15,81.2,83.39,82.5,81.91
5374,2021-03-12,79.23,81.19,81.05,79.73
5373,2021-03-11,79.37,81.89,81.23,79.4
5372,2021-03-10,77.41,80.04,77.52,79.75
5371,2021-03-09,75.77,79.215,78.53,76.73
5370,2021-03-08,73.86,79.0,73.96,78.03
5369,2021-03-05,74.2,79.48,78.52,79.0
5368,2021-03-04,76.78,81.8067,77.75,80.23
5367,2021-03-03,80.85,84.38,80.86,84.28
5366,2021-03-02,84.04,86.95,84.13,86.92
5365,2021-03-01,83.97,86.5,86.39,85.365
5364,2021-02-26,82.91,85.59,84.51,83.565
5363,2021-02-25,81.92,87.09,82.42,86.17
5362,2021-02-24,82.81,87.09,86.94,84.33
5361,2021-02-23,79.36,85.11,84.74,83.4
5360,2021-02-22,85.21,88.3,85.37,88.15
5359,2021-02-19,88.69,90.4163,89.58,89.75
5358,2021-02-18,87.31,89.6,88.64,89.09
5357,2021-02-17,88.5701,90.96,89.94,90.56
5356,2021-02-16,90.7499,94.0,91.46,93.9
5355,2021-02-12,91.9,94.22,93.77,92.75
5354,2021-02-11,91.33,93.65,92.66,92.9
5353,2021-02-10,90.46,93.27,92.35,91.5
5352,2021-02-09,90.55,93.3,90.91,91.39
5351,2021-02-08,87.98,91.99,91.47,88.31
5350,2021-02-05,86.875,88.36,87.9,88.15
5349,2021-02-04,87.06,88.6,87.84,88.22
5348,2021-02-03,87.34,89.48,87.89,88.6
5347,2021-02-02,86.95,89.28,88.86,88.49
